"Expr1000","MSW05binom","POINT_X","POINT_Y","binomial_tree","Class","Family","Genus","Species","1-1_ActivityCycle","2-1_AgeatEyeOpening_d","3-1_AgeatFirstBirth_d","5-1_AdultBodyMass_g","5-2_BasalMetRateMass_g","5-3_NeonateBodyMass_g","5-4_WeaningBodyMass_g","5-5_AdultBodyMass_g_EXT","5-6_NeonateBodyMass_g_EXT","5-7_WeaningBodyMass_g_EXT","6-1_DietBreadth","6-2_TrophicLevel","7-1_DispersalAge_d","8-1_AdultForearmLen_mm","9-1_GestationLen_d","10-1_PopulationGrpSize","10-2_SocialGrpSize","12-1_HabitatBreadth","12-2_Terrestriality","13-1_AdultHeadBodyLen_mm","13-2_NeonateHeadBodyLen_mm","13-3_WeaningHeadBodyLen_mm","14-1_InterbirthInterval_d","15-1_LitterSize","16-1_LittersPerYear","16-2_LittersPerYear_EXT","17-1_MaxLongevity_m","18-1_BasalMetRate_mLO2hr","21-1_PopulationDensity_n/km2","22-1_HomeRange_km2","22-2_HomeRange_Indiv_km2","23-1_SexualMaturityAge_d","24-1_TeatNumber","25-1_WeaningAge_d","26-1_GR_Area_km2","26-2_GR_MaxLat_dd","26-3_GR_MinLat_dd","26-4_GR_MidRangeLat_dd","26-5_GR_MaxLong_dd","26-6_GR_MinLong_dd","26-7_GR_MidRangeLong_dd","27-1_HuPopDen_Min_n/km2","27-2_HuPopDen_Mean_n/km2","27-3_HuPopDen_5p_n/km2","27-4_HuPopDen_Change","28-1_Precip_Mean_mm","28-2_Temp_Mean_01degC","30-1_AET_Mean_mm","30-2_PET_Mean_mm"
"Canis adustus","Canis adustus",13.00,-15.19,"Canis_adustus","Carnivora","Canidae","Canis","adustus","1",,,"10392.49",,,,,,,"6","2","329.99",,"65",,,"1","1","745.32",,,,"4.5",,,"137",,"0.74","1.01","1.01","249.88","8","52.89","10581413.14","16.72","-28.73","-6","43.55","-17.53","13","0","35.2","1","0.14","90.75","236.51","922.9","1534.4"
"Canis aureus","Canis aureus",45.74,6.54,"Canis_aureus","Carnivora","Canidae","Canis","aureus","2","7.5",,"9658.7",,"211.82",,,,,"6","2",,,"61.24",,,"1","1","827.53",,,"365","3.74",,"1.1","192",,"0.22","2.95","3.13","371.23","8","61.3","25739527.43","47","-4.71","21.14","108.54","-17.05","45.74","0","79.29","0","0.1","44.61","217.23","438.02","1358.98"
"Canis latrans","Canis latrans",-117.60,51.18,"Canis_latrans","Carnivora","Canidae","Canis","latrans","2","11.94","365","11989.1","10450","200.01",,,,,"1","3","255",,"61.74",,,"1","1","872.39",,,"365","5.72",,"1.1","262","3699","0.25","18.88","19.91","372.9","8","43.71","17099094.3","71.39","8.02","39.7","-67.07","-168.12","-117.6","0","27.27","0","0.06","53.03","58.18","503.02","728.37"
"Canis lupus","Canis lupus",97.92,52.42,"Canis_lupus","Carnivora","Canidae","Canis","lupus","2","14.01","547.5","31756.51","33100","412.31",,,,,"1","3","180",,"63.5",,,"1","1","1055",,,"365","4.98","2",,"354","11254.2","0.01","159.86","43.13","679.37","9","44.82","50803439.7","83.27","11.48","47.38","179.65","-171.84","3.9","0","37.87","0","0.04","34.79","4.82","313.33","561.11"
"Bos frontalis","Bos frontalis",100.04,7.52,"Bos_frontalis","Artiodactyla","Bovidae","Bos","frontalis","2",,,"800143.05",,"22977.05",,,,,"3","1",,,"273.75",,"40",,,"2700",,,"403.02","1.22","1",,"314.4",,"0.54",,,"610.97",,"186.67","2294331.63","28.01","2.86","15.43","108.68","73.55","91.12","1","152.67","8","0.09","145.21","229.71","1053.45","1483.02"
"Bos grunniens","Bos grunniens",87.57,34.16,"Bos_grunniens","Artiodactyla","Bovidae","Bos","grunniens",,,,"500000",,,,,,,"2","1",,,"273.75",,"110",,,,,,,"1","1",,"267",,,,,"755.15",,"243.33","1523540.07","38.88","29.66","34.27","99.23","75.91","87.57","0","2.03","0","0.05","30.41","-59.31","246.2","732.74"
"Bos javanicus","Bos javanicus",101.80,16.99,"Bos_javanicus","Artiodactyla","Bovidae","Bos","javanicus","2",,"912.5","635974.34",,,,,,,"2","1",,,"296.78","21","40","1","1","2075",,,,"1.22","1",,"318.96",,"0.75",,,"797.31",,"287.74","1687920.66","25.08","-8.78","8.15","118.35","94.94","106.64","1","139.21","4","0.11","187.69","239.18","1301.28","1592.26"
"Callicebus cupreus","Callicebus cupreus",-68.25,-6.12,"Callicebus_cupreus","Primates","Pitheciidae","Callicebus","cupreus","3",,,"1117.02",,"73.6",,,,,,,,,"129.25",,"2.05","1","2","354.99",,,"395.41","1.01",,"1.05",,,"4.89",,,,,"201.85","690923.14","-2.5","-10.67","-6.58","-61.59","-74.92","-68.25","0","1.07","0","0.05","196.01","255.36","1529.55","1573.18"
"Callicebus donacophilus","Callicebus donacophilus",-64.97,-13.50,"Callicebus_donacophilus","Primates","Pitheciidae","Callicebus","donacophilus","3",,,"897.67",,,,,,,,,,,,,"1","1","2",,,,,"1.02",,,,,,,,,,,"288759.02","-10.45","-21.29","-15.87","-57.52","-67.21","-62.37","0","3.63","0","0.17","108.93","244.32","1238.19","1469.11"
"Callicebus hoffmannsi","Callicebus hoffmannsi",-57.04,-4.16,"Callicebus_hoffmannsi","Primates","Pitheciidae","Callicebus","hoffmannsi","3",,,"1067.61",,,,,,,,,,,,,"1","1","2",,,,,"1.02",,,,,,,,,,,"98076.46","-1.95","-6","-3.97","-54.87","-59.21","-57.04","0","2.6","0","0.1","158.41","258.18","1417.63","1610.4"
"Callicebus medemi","Callicebus medemi",-75.56,0.14,"Callicebus_medemi","Primates","Pitheciidae","Callicebus","medemi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36587.57","0.95","-1.66","-0.35","-74.42","-76.71","-75.56","1","5.6","1","0.15","152.17","292.08","1435.56","1446.17"
"Callicebus melanochir","Callicebus melanochir",-39.59,-15.57,"Callicebus_melanochir","Primates","Pitheciidae","Callicebus","melanochir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60497.71","-12.83","-18.16","-15.5","-38.72","-40.46","-39.59","7","46.93","11","0.08","137.48","232.78","1460.59","1650.42"
"Callicebus modestus","Callicebus modestus",-66.66,-14.95,"Callicebus_modestus","Primates","Pitheciidae","Callicebus","modestus","3",,,"992.4",,,,,,,,,,,,,"1","1","2",,,,,"1.02",,,,,,,,,,,"17288.42","-14.25","-15.67","-14.96","-65.93","-67.39","-66.66","1","2.76","1","0.47","119.01","225.42","1432.14","1548.82"
"Caluromys derbianus","Caluromys derbianus",-87.48,15.26,"Caluromys_derbianus","Didelphimorphia","Didelphidae","Caluromys","derbianus","1",,,"326.72","344",,,,,,"3","2",,,,,"1","1","2","231",,,,"3.14",,,"60","215.11","11.86",,,"251.71",,,"678553.48","20.73","-2.92","8.9","-76.63","-98.33","-87.48","2","53.45","3","0.14","189.71","234.61","1341.7","1596.59"
"Caluromys lanatus","Caluromys lanatus",-65.29,-12.52,"Caluromys_lanatus","Didelphimorphia","Didelphidae","Caluromys","lanatus","1",,,"350.33",,,,,,,"4","2",,,,,"1","2","2","273.3",,,,,,,"60",,,,,,,,"3683731.12","9.07","-28.1","-9.51","-53.2","-77.39","-65.29","0","5.36","0","0.13","175.31","245.59","1392.87","1501.45"
"Caluromys philander","Caluromys philander",-57.92,3.98,"Caluromys_philander","Didelphimorphia","Didelphidae","Caluromys","philander","1","75","334.58","246.47",,"0.2","23",,,,"4","2",,,"23.99",,"1","2","2","224.27","10",,"166.5","4.18","2",,"76",,"62.32","0.00996","0.02","314.52","7","119.65","3212264.13","12.2","-24.58","-6.19","-40.35","-72.87","-56.61","0","39.68","0","0.12","144.03","239.14","1356.51","1583.7"
"Caluromysiops irrupta","Caluromysiops irrupta",-67.73,-11.20,"Caluromysiops_irrupta","Didelphimorphia","Didelphidae","Caluromysiops","irrupta","1",,,"257.48",,,,,,,"3","2",,,,,"1","1","2","234.52",,,,"2",,,"94",,"8.85",,,,,,"188864.44","-9.34","-12.69","-11.01","-61.99","-73.48","-67.73","0","3.51","0","0.27","189.96","246.03","1362.63","1563.51"
"Calyptophractus retusus","Calyptophractus retusus",-61.11,-18.79,"Calyptophractus_retusus","Cingulata","Dasypodidae","Calyptophractus","retusus",,,,"129.99",,,,,,,"4","2",,,,,,"2","1","157.5",,,,,,,"144",,,,,,,,"1081453.8","-12.69","-29.92","-21.3","-56.47","-65.76","-61.11","0","4.33","0","0.12","87.68","228.45","1016.9","1327.63"
"Camelus bactrianus","Camelus bactrianus",94.17,40.72,"Camelus_bactrianus","Artiodactyla","Camelidae","Camelus","bactrianus",,,"1460","554515.91",,"34346.64",,,,,"2","1",,,"397.99",,"6.2","1","1",,,,"730","1.39","1",,"480",,"0.06",,,"1330.6",,"368.13","188693","44.71","37.98","41.34","97.58","90.75","94.17","0","1.83","0","0.01","9.94","53.72","66.85","612.43"
"Bos sauveli","Bos sauveli",105.42,14.08,"Bos_sauveli","Artiodactyla","Bovidae","Bos","sauveli","2",,,"791321.76",,,,,,,"2","1",,,,,"20","1","1","2175",,,,,,,,,,,,"755.15",,,"115557.18","15.48","12.04","13.76","107.85","102.98","105.42","2","36.95","3","0.12","170.36","251.45","1144.18","1581.73"
"Bos taurus","Bos taurus",108.04,13.32,"Bos_taurus","Artiodactyla","Bovidae","Bos","taurus",,,,"618642.42",,,,,,,,,,,"280.48",,,,,,,,,,"1",,"240",,,"10.04",,"755.15",,,"44447.62","15.08","11.85","13.46","108.99","107.08","108.04","2","42.48","3","0.15","174.94","228.73","1193.98","1450.23"
"Boselaphus tragocamelus","Boselaphus tragocamelus",78.00,22.10,"Boselaphus_tragocamelus","Artiodactyla","Bovidae","Boselaphus","tragocamelus",,,"912.5","182253.04",,"5875",,,,,"5","1",,,"248.49",,,,,"2000",,,"400.5","1.39",,"1.05","260.4",,"2.39",,,,,,"2192564.81","33","11.71","22.35","87.08","68.93","78","2","313.3","76.5","0.09","86.66","247.4","750.64","1450.38"
"Brachiones przewalskii","Brachiones przewalskii",90.00,39.88,"Brachiones_przewalskii","Rodentia","Muridae","Brachiones","przewalskii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"940177.9","42.86","35.46","39.16","102.85","77.15","90","0","5.36","0","0.05","17.27","68.34","79.67","681.81"
"Canis mesomelas","Canis mesomelas",23.21,-25.47,"Canis_mesomelas","Carnivora","Canidae","Canis","mesomelas","2",,,"8247.3",,"177.2",,,,,"6","2","270",,"62.5",,,"1","1","707.27",,,"273.75","3.89",,"1.27","168",,"0.74","11.93","12.82","241.4","8","34.1","6248779.95","16.47","-34.83","-9.18","51.41","11.71","31.56","0","30.81","0","0.11","49.27","213.33","661.36","1468.1"
"Canis simensis","Canis simensis",39.48,6.79,"Canis_simensis","Carnivora","Canidae","Canis","simensis","3",,,"14361.86",,,,,,,"1","3","180",,"63.61",,,"1","1","938.19",,,"365",,,"1.1",,,"1.2","4.2","5.02","754.74","8","69.6","11402.81","13.31","6.55","9.93","39.96","38.02","38.99","30","99.87","30","0.15","83.87","99.03","931.35","1471.36"
"Cannomys badius","Cannomys badius",101.14,19.01,"Cannomys_badius","Rodentia","Spalacidae","Cannomys","badius",,,,"472.07","344",,,,,,,,,,"41.49",,,,,,,,,"2",,,"48","172",,,,,,"50.1","818286","27.85","11.82","19.83","105.88","84.65","95.26","4","86.5","9","0.07","159.67","213.64","1063.45","1473.54"
"Cansumys canus","Cansumys canus",108.94,33.29,"Cansumys_canus","Rodentia","Cricetidae","Cansumys","canus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"267130.76","35.6","31.09","33.34","115.62","102.25","108.94","4","218.11","8","0.06","58.53","103.16","742.53","877.6"
"Capra caucasica","Capra caucasica",44.26,42.69,"Capra_caucasica","Artiodactyla","Bovidae","Capra","caucasica",,,,"58149.52",,,,,,,,,,,"155",,,,,,,,,"1.09",,,"264",,,,,"1015","3",,"32781.87","43.82","40.83","42.33","48.52","40","44.26","9","40.22","10.5","0.02","57.31","-9.89","612.18","710.43"
"Capra falconeri","Capra falconeri",72.37,35.32,"Capra_falconeri","Artiodactyla","Bovidae","Capra","falconeri","3",,"730","54303.37",,,,,,,"2","1",,,"167.98","11",,"1","1","1590",,,,"1.73",,,"168",,,,,"1015",,"167.29","155075.85","38.9","28.84","33.87","75.48","65.04","70.26","4","88.36","12","0.16","22.18","108.54","340.32","1154.28"
"Capra ibex","Capra ibex",9.85,46.44,"Capra_ibex","Artiodactyla","Bovidae","Capra","ibex",,,"912.5","69546.83",,"2779.07","15683.39",,,,"2","1",,,"167.5",,,"1","1",,,,"547.5","1.11",,"0.89","267.6",,,,,"838.54","3","111.75","145098.13","47.9","43.76","45.83","15.5","4.76","10.13","12","135.27","26","0.03","87.78","42.76","586.2","627.49"
"Atelerix algirus","Atelerix algirus",2.65,34.81,"Atelerix_algirus","Erinaceomorpha","Erinaceidae","Atelerix","algirus","1",,,"903.98",,,,,,,"3","2",,,"39.25",,,,,"214.76",,,,"2.5","2",,"84",,,,,,,"39.7","815329.89","37.34","30.13","33.74","21.77","-9.89","5.94","1","95.57","3","0.11","26.26","167.59","327.17","1147.59"
"Atelerix frontalis","Atelerix frontalis",25.55,-25.74,"Atelerix_frontalis","Erinaceomorpha","Erinaceidae","Atelerix","frontalis","1","10",,"329.12",,"10.55",,,,,"6","2",,,"37.13",,"1","1","1","181.82","52.6",,,"4.99","1.5",,,,,,,"411.43","6","34.8","1497998.13","-12.43","-33.62","-23.03","31.09","11.76","21.42","0","16.7","1","0.1","42.24","186.9","578.5","1322.65"
"Atelerix sclateri","Atelerix sclateri",48.42,9.10,"Atelerix_sclateri","Erinaceomorpha","Erinaceidae","Atelerix","sclateri","1",,,,,,,"66.17",,,,,,,,,,,,"129.99",,,,,,,,,,,,,,,"198274.28","11.98","6.32","9.15","51.41","45.44","48.42","1","5.95","2","0.04","12.2","245.23","155.21","1766.15"
"Ateles belzebuth","Ateles belzebuth",-69.33,-0.11,"Ateles_belzebuth","Primates","Atelidae","Ateles","belzebuth","3",,,"6692.42",,,,,,,"2","1",,,"138.2",,"14.5","1","2","459.3",,,,"1.02",,,"336",,"13.49","2.28","3.24",,,,"1030364.23","4.08","-4.98","-0.44","-60.12","-78.54","-69.33","0","2.79","0","0.11","227.01","257.68","1493.34","1512.96"
"Ateles chamek","Ateles chamek",-69.73,-7.33,"Ateles_chamek","Primates","Atelidae","Ateles","chamek","3",,,"7053.92",,,,,,,"2","1",,,,,,"1","2","454.28",,,,,,,,,"3.39","1.16",,,,,"990902.31","-2.58","-11.43","-7.01","-62.25","-77.21","-69.73","0","1.62","0","0.1","194.51","254.97","1504.72","1569.06"
"Ateles fusciceps","Ateles fusciceps",-76.52,5.80,"Ateles_fusciceps","Primates","Atelidae","Ateles","fusciceps","3",,"1773.9","9067.94",,"499.99",,,,,"2","1",,,"224.7",,,"1","2","489.15",,,"851.66","1.01",,"0.71","288",,,,,"1799.68",,"482.7","201579.73","11.11","1.77","6.44","-73.92","-79.12","-76.52","3","85.93","4","0.11","220.34","240.81","1483.74","1654.37"
"Ateles geoffroyi","Ateles geoffroyi",-91.00,17.42,"Ateles_geoffroyi","Primates","Atelidae","Ateles","geoffroyi","3",,"2080.5","7582.4",,"425.85","3478.06",,,,"2","1",,,"226.37",,"42","1","2","433.07",,,"1048.15","1.01",,"0.64","327.6",,"19.06","0.73","1.07","2104.57",,"816.35","806609.19","24.09","0.67","12.38","-70.23","-98.85","-84.54","2","55.14","4","0.14","153.93","243.16","1344.08","1624.94"
"Ateles hybridus","Ateles hybridus",-70.82,8.68,"Ateles_hybridus","Primates","Atelidae","Ateles","hybridus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"144643.82","11.35","6.26","8.8","-66.36","-75.27","-70.82","1","54","1","0.13","114.72","255.57","1343.77","1685.22"
"Ateles marginatus","Ateles marginatus",-56.01,-4.83,"Ateles_marginatus","Primates","Atelidae","Ateles","marginatus","3",,,"6229.28",,,,,,,"2","1",,,,,,"1","2","460.27",,,,,,,,,,,,,,,"831855.4","-0.54","-8.84","-4.69","-47.7","-64.33","-56.01","0","4.83","0","0.11","169.03","252.71","1421.4","1592.48"
"Ateles paniscus","Ateles paniscus",-56.14,1.82,"Ateles_paniscus","Primates","Atelidae","Ateles","paniscus","3",,"1825","8697.25",,"478.64","2753.17",,,,"6","2",,,"228.18",,"20","1","2","575.96",,,"1072.18","1",,"0.63","453.6",,"8","1.36","2.19","2104.57",,"805.41","892635.1","7.28","-3.14","2.06","-50.44","-61.85","-56.14","0","3.25","0","0.08","157.69","255.77","1456.6","1696.86"
"Callicebus moloch","Callicebus moloch",-53.24,-6.64,"Callicebus_moloch","Primates","Pitheciidae","Callicebus","moloch","3",,"1095","958.13",,"74.4",,,,,"3","2",,,"164",,"2.95","1","2","358.65","125",,"365","1.01",,"1.1","303.6",,"18.43","0.02","0.03","1262.74",,"58.85","911442.78","-1.3","-14.1","-7.7","-48.19","-58.29","-53.24","0","2.4","0","0.13","174.03","246.08","1330.45","1530.29"
"Callicebus nigrifrons","Callicebus nigrifrons",-46.60,-20.27,"Callicebus_nigrifrons","Primates","Pitheciidae","Callicebus","nigrifrons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"513267.9","-16.37","-24.44","-20.4","-41.86","-51.33","-46.6","3","136.21","5","0.05","128.2","203.7","1160.18","1370.31"
"Callicebus oenanthe","Callicebus oenanthe",-77.31,-5.56,"Callicebus_oenanthe","Primates","Pitheciidae","Callicebus","oenanthe","3",,,"992.4",,,,,,,,,,,,,"1","1","2",,,,,"1.02",,,,,,,,,,,"5807.21","-5.16","-5.98","-5.57","-76.96","-77.67","-77.31","2","8.33","2","0.06","139.67","220.5","1287.01","1394.99"
"Callicebus olallae","Callicebus olallae",-66.66,-14.95,"Callicebus_olallae","Primates","Pitheciidae","Callicebus","olallae","3",,,"992.4",,,,,,,,,,,,,"1","1","2",,,,,"1.02",,,,,,,,,,,"17288.42","-14.25","-15.67","-14.96","-65.93","-67.39","-66.66","1","2.76","1","0.47","119.01","225.42","1432.14","1548.82"
"Callicebus ornatus","Callicebus ornatus",-74.23,3.31,"Callicebus_ornatus","Primates","Pitheciidae","Callicebus","ornatus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23066.97","4.38","2.18","3.28","-73.68","-74.77","-74.23","1","104.04","1","0.12","130.8","209.3","1484.71","1507.5"
"Callicebus pallescens","Callicebus pallescens",-59.39,-20.07,"Callicebus_pallescens","Primates","Pitheciidae","Callicebus","pallescens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93328.33","-16.39","-21.29","-18.84","-57.52","-61.25","-59.39","0","0.63","0","0.1","86.34","258.42","1071.44","1315.57"
"Callicebus personatus","Callicebus personatus",-41.33,-19.32,"Callicebus_personatus","Primates","Pitheciidae","Callicebus","personatus","3",,,"1390.8",,,,,,,"4","1",,,,,"2.35","1","2","362.49",,,,"1.01",,,,,"13.03","0.03","0.05",,,,"172664.46","-16.02","-22.48","-19.25","-39.58","-43.08","-41.33","7","47.74","11","0.06","107.39","212.34","1204.53","1458.54"
"Callimico goeldii","Callimico goeldii",-72.10,-9.55,"Callimico_goeldii","Primates","Cebidae","Callimico","goeldii","3",,"491.83","558",,"50.5","120.02",,,,"2","2",,,"153.99",,"6.85","1","2","280",,,"182.5","1.05",,"1.56","214.8",,"2.08","0.32","0.45","413.84",,"66.53","462922.05","0.97","-11.64","-5.33","-67.04","-77.15","-72.1","0","3","0","0.11","209.19","259.78","1476.2","1518.11"
"Callistomys pictus","Callistomys pictus",-38.55,-12.06,"Callistomys_pictus","Rodentia","Echimyidae","Callistomys","pictus",,,,"518.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37773.91","-11.33","-13.77","-12.55","-37.36","-39.75","-38.55","17","211.59","20","0.08","123.66","239.11","1250.37","1682.91"
"Callithrix acariensis","Callithrix acariensis",-63.34,-9.80,"Callithrix_acariensis","Primates","Cebidae","Callithrix","acariensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79622.42","-8.06","-11.18","-9.62","-61.58","-65.11","-63.34","1","7.5","1","0.43","178.99","246.16","1329.16","1576.85"
"Callithrix argentata","Callithrix argentata",-52.31,-2.62,"Callithrix_argentata","Primates","Cebidae","Callithrix","argentata","3",,"609.55","382.92",,"35.8",,,,,"4","2",,,,,"9.5","1","2",,,,"219.6","1.84",,"1.42","201.6",,"7.52",,,"701.52",,,"123514","-1.09","-5.09","-3.09","-49.38","-55.24","-52.31","1","3.87","1","0.13","171.85","254.42","1412.78","1614.39"
"Callithrix aurita","Callithrix aurita",-45.02,-23.46,"Callithrix_aurita","Primates","Cebidae","Callithrix","aurita","3",,,"386.2",,,,,,,"3","2",,,"140",,"6","1","2","239.99",,,,"2",,,,,,"0.08",,,,,"87653.49","-21.66","-24.65","-23.15","-40.97","-49.07","-45.02","14","398.77","24","0.06","148.06","188.19","1243.75","1379.49"
"Callithrix chrysoleuca","Callithrix chrysoleuca",-59.43,-6.21,"Callithrix_chrysoleuca","Primates","Cebidae","Callithrix","chrysoleuca","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60733.28","-3.51","-8.03","-5.77","-58.34","-60.52","-59.43","0","0.44","0","0.14","170.99","258.62","1453.35","1598.79"
"Callithrix emiliae","Callithrix emiliae",-54.70,-9.53,"Callithrix_emiliae","Primates","Cebidae","Callithrix","emiliae",,,,"309.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160568.97","-5.54","-13.49","-9.52","-53.34","-56.05","-54.7","0","1.68","1","0.17","193.59","249.26","1291.21","1525.99"
"Callithrix flaviceps","Callithrix flaviceps",-41.96,-20.95,"Callithrix_flaviceps","Primates","Cebidae","Callithrix","flaviceps","3",,,"372.97",,,,,,,"3","2",,,"140",,"9.8","1","2","239.99",,,,"2",,,,,"11.85","0.22",,,,,"27330.89","-20.39","-21.92","-21.16","-40.81","-43.12","-41.96","36","56.38","37.5","0.05","111.78","200.81","1193.67","1398.92"
"Callithrix geoffroyi","Callithrix geoffroyi",-41.38,-18.80,"Callithrix_geoffroyi","Primates","Cebidae","Callithrix","geoffroyi","3",,,"342",,,,,,,,,,,,,,"1","2",,,,,,,,,,,,,,,,"132745.3","-16.9","-21.07","-18.99","-39.13","-43.62","-41.38","11","47.67","14","0.06","108.43","216.05","1237.94","1455.44"
"Callithrix humeralifera","Callithrix humeralifera",-57.95,-3.74,"Callithrix_humeralifera","Primates","Cebidae","Callithrix","humeralifera","3",,,"374.99",,"34.5",,,,,"4","2",,,,,"8.5","1","2",,,,,,,,"180",,"28.32","0.1","0.13",,,"99.01","129628","-2.27","-8.45","-5.36","-55.4","-60.5","-57.95","0","1.68","0","0.12","163.67","258.66","1433.66","1605.81"
"Callithrix humilis","Callithrix humilis",-60.81,-6.58,"Callithrix_humilis","Primates","Cebidae","Callithrix","humilis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21239.49","-5.25","-7.65","-6.45","-60.13","-61.49","-60.81","0","0.6","0","0","172.58","260.07","1483.92","1601.22"
"Callithrix intermedia","Callithrix intermedia",-60.05,-9.88,"Callithrix_intermedia","Primates","Cebidae","Callithrix","intermedia","3",,,,,,,,,,,,,,,,"11.5",,,,,,,"2",,,,,"19.97","0.19",,,,,"73178.5","-4.13","-11.95","-8.04","-59.01","-60.88","-59.95","0","0.39","0","0.53","179.43","249.52","1334.37","1536.27"
"Callithrix jacchus","Callithrix jacchus",-40.28,-5.90,"Callithrix_jacchus","Primates","Cebidae","Callithrix","jacchus","3",,"555.1","290.21","190","27.74","96.82",,,,"5","2",,,"144",,"8.55","1","2",,,,"159.8","2.31",,"1.67","201.6","152","508.18","0.02",,"455.99",,"60.24","604264.4","-2.78","-10.38","-6.58","-34.79","-45.78","-40.28","1","61.47","2","0.06","99.39","249.92","912.68","1488.61"
"Callithrix kuhlii","Callithrix kuhlii",-39.59,-15.62,"Callithrix_kuhlii","Primates","Cebidae","Callithrix","kuhlii","3",,,"374.99",,,,,,,"4","2",,,,,,"1","2",,,,,,,,,,"59","0.06",,,,,"34583.88","-14.4","-16.84","-15.62","-38.85","-40.32","-39.59","7","32.31","9.5","0.08","149.75","229.94","1475.45","1613.32"
"Callithrix leucippe","Callithrix leucippe",-55.73,-4.82,"Callithrix_leucippe","Primates","Cebidae","Callithrix","leucippe","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14616.07","-3.85","-5.41","-4.63","-55.11","-56.36","-55.73","1","1.5","1","0.16","171.99","251.2","1381.69","1571.6"
"Callithrix manicorensis","Callithrix manicorensis",-60.85,-6.63,"Callithrix_manicorensis","Primates","Cebidae","Callithrix","manicorensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18875.99","-5.31","-7.64","-6.48","-60.2","-61.51","-60.85","0","0.6","0","0","171.12","260.53","1488.51","1603.28"
"Callithrix marcai","Callithrix marcai",-60.16,-9.93,"Callithrix_marcai","Primates","Cebidae","Callithrix","marcai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44500.24","-7.83","-12.06","-9.95","-59.48","-60.83","-60.16","0","0.77","0","0.64","183.11","243.87","1244.72","1492.05"
"Callithrix mauesi","Callithrix mauesi",-56.81,-3.22,"Callithrix_mauesi","Primates","Cebidae","Callithrix","mauesi",,,,"443.79",,,,,,,"4","2",,,,,,"1","2",,,,,,,,,,,,,,,,"2038.88","-2.95","-3.45","-3.2","-56.56","-57.05","-56.81","3","5.75","3","0.14","143.49","261","1431.24","1643.5"
"Callithrix melanura","Callithrix melanura",-59.12,-16.89,"Callithrix_melanura","Primates","Cebidae","Callithrix","melanura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"543620.62","-8.59","-19.88","-14.23","-53.2","-65.04","-59.12","0","4.24","0","0.22","126.64","243.35","1166.8","1423.6"
"Callithrix nigriceps","Callithrix nigriceps",-62.09,-7.63,"Callithrix_nigriceps","Primates","Cebidae","Callithrix","nigriceps","3",,,"401.12",,,,,,,"4","2",,,,,,"1","2",,,,,"2",,,,,,,,,,,"24958.88","-6.18","-8.8","-7.49","-61.41","-62.77","-62.09","0","1.33","0","0.12","181.98","256.61","1417.38","1586.97"
"Callithrix penicillata","Callithrix penicillata",-46.24,-16.23,"Callithrix_penicillata","Primates","Cebidae","Callithrix","penicillata","3",,,"339.98",,,,,,,,,,,,,"5.9","1","2",,,,,"2",,,,,,"0.01",,,,,"1325473.3","-2.32","-23.03","-12.68","-40.15","-52.33","-46.24","1","23.65","1","0.07","117.22","219.92","1084.95","1442.42"
"Callithrix pygmaea","Callithrix pygmaea",-69.94,-7.02,"Callithrix_pygmaea","Primates","Cebidae","Callithrix","pygmaea","3","0","840.41","123.94","116.9","14.5","70",,,,"3","2",,,"134.44",,"6","1","2","154.6",,,"182.5","1.93",,"1.56","181.2","113.99","15.9","0.00212","0.00309","708.5",,"90.73","1508925.87","0.59","-12.52","-5.96","-61.36","-78.52","-69.94","0","2.19","0","0.1","208.53","256.47","1483.18","1526.07"
"Callithrix saterei","Callithrix saterei",-58.84,-5.08,"Callithrix_saterei","Primates","Cebidae","Callithrix","saterei","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18742.81","-3.94","-6.34","-5.14","-58.04","-59.64","-58.84","0","0.75","0","0.16","164.67","260.68","1454.2","1609.58"
