"Expr1000","MSW05binom","POINT_X","POINT_Y","binomial_tree","Class","Family","Genus","Species","1-1_ActivityCycle","2-1_AgeatEyeOpening_d","3-1_AgeatFirstBirth_d","5-1_AdultBodyMass_g","5-2_BasalMetRateMass_g","5-3_NeonateBodyMass_g","5-4_WeaningBodyMass_g","5-5_AdultBodyMass_g_EXT","5-6_NeonateBodyMass_g_EXT","5-7_WeaningBodyMass_g_EXT","6-1_DietBreadth","6-2_TrophicLevel","7-1_DispersalAge_d","8-1_AdultForearmLen_mm","9-1_GestationLen_d","10-1_PopulationGrpSize","10-2_SocialGrpSize","12-1_HabitatBreadth","12-2_Terrestriality","13-1_AdultHeadBodyLen_mm","13-2_NeonateHeadBodyLen_mm","13-3_WeaningHeadBodyLen_mm","14-1_InterbirthInterval_d","15-1_LitterSize","16-1_LittersPerYear","16-2_LittersPerYear_EXT","17-1_MaxLongevity_m","18-1_BasalMetRate_mLO2hr","21-1_PopulationDensity_n/km2","22-1_HomeRange_km2","22-2_HomeRange_Indiv_km2","23-1_SexualMaturityAge_d","24-1_TeatNumber","25-1_WeaningAge_d","26-1_GR_Area_km2","26-2_GR_MaxLat_dd","26-3_GR_MinLat_dd","26-4_GR_MidRangeLat_dd","26-5_GR_MaxLong_dd","26-6_GR_MinLong_dd","26-7_GR_MidRangeLong_dd","27-1_HuPopDen_Min_n/km2","27-2_HuPopDen_Mean_n/km2","27-3_HuPopDen_5p_n/km2","27-4_HuPopDen_Change","28-1_Precip_Mean_mm","28-2_Temp_Mean_01degC","30-1_AET_Mean_mm","30-2_PET_Mean_mm"
"Neotoma chrysomelas","Neotoma chrysomelas",-86.92,14.04,"Neotoma_chrysomelas","Rodentia","Cricetidae","Neotoma","chrysomelas",,,,,,,,,,,,,,,,,,,,,,,,"0.97",,,,,,,,,,,"29901.48","15.08","12.44","13.76","-85.62","-88.21","-86.92","21","80.02","28","0.16","122.37","200.73","1143.64","1607.86"
"Neotoma cinerea","Neotoma cinerea",-119.56,46.29,"Neotoma_cinerea","Rodentia","Cricetidae","Neotoma","cinerea","1","14.5",,"285.89","205.1","14.4","93.36",,,,"3","1",,,"29.69",,"4",,,"208.96",,,"30","3.45","1.5",,,"168.59",,"0.03","0.04","525",,"26.35","3606599.01","65.62","34.55","50.09","-100.14","-138.98","-119.56","0","7.53","0","0.08","40.78","33.34","356.18","668.38"
"Neotoma devia","Neotoma devia",-113.08,33.64,"Neotoma_devia","Rodentia","Cricetidae","Neotoma","devia",,,,"200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73864.9","36.51","32.02","34.26","-111.23","-114.93","-113.08","0","15.62","0","0.2","18.87","167.99","279.45","1121.1"
"Nyctophilus walkeri","Nyctophilus walkeri",134.65,-13.97,"Nyctophilus_walkeri","Chiroptera","Vespertilionidae","Nyctophilus","walkeri",,,,"4.44",,,,,,,,,,"32.99",,,,"1","2",,,,,,,,,,,,,,,,"376698.55","-11.11","-18.34","-14.72","139.95","124.36","132.15","0","1.07","0","0.00446","80.68","268.42","842.03","1773.61"
"Ochotona alpina","Ochotona alpina",92.41,46.95,"Ochotona_alpina","Lagomorpha","Ochotonidae","Ochotona","alpina",,,,"150",,"8.19",,,,,,,,,"28.98",,,"1","1","175",,,,"3.07","2",,"36",,"812.4",,,"377.57",,"21","880723.78","54.55","38.02","46.28","123.71","83.93","103.82","0","2.88","1","0.02","23.77","-63.82","303.38","488.71"
"Ochotona argentata","Ochotona argentata",105.83,38.90,"Ochotona_argentata","Lagomorpha","Ochotonidae","Ochotona","argentata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1253.73","39.12","38.41","38.77","106.03","105.62","105.83","2","75.5","2","0.07","11.99","66.8","199.66","684.36"
"Ochotona cansus","Ochotona cansus",99.37,34.74,"Ochotona_cansus","Lagomorpha","Ochotonidae","Ochotona","cansus",,,,"68.75",,,,,,,"1","1",,,"24.49",,,"2","1","134.5",,,,"3.65","2.25",,"60",,,"0.000567","0.000609","413.84",,"18","767181.2","39.57","29.29","34.43","112.42","93.59","103","0","39.2","1","0.05","81.97","-19.31","520.48","806.92"
"Ochotona collaris","Ochotona collaris",-139.97,64.70,"Ochotona_collaris","Lagomorpha","Ochotonidae","Ochotona","collaris","3",,"365","129",,,,,,,"2","1",,,,,,"1","1","187.44",,,,"3.35","2",,"72",,"733.17","0.00100","0.00139","374.39",,,"1151823.27","69.45","59.28","64.37","-124.07","-155.86","-139.97","0","0.13","0","0.01","38.66","-93.52","212.75","238.5"
"Ochotona curzoniae","Ochotona curzoniae",90.08,33.53,"Ochotona_curzoniae","Lagomorpha","Ochotonidae","Ochotona","curzoniae","2",,,"159.47",,"11.2",,,,,"1","1",,,"22.5",,,"2","1","170","57.6",,,"4.39","3.5",,,,"19000","0.00107","0.00101",,,,"2326434.58","40.59","27.52","34.06","102.16","78","90.08","0","4.59","0","0.05","49.51","-47.58","346.07","786.79"
"Ochotona dauurica","Ochotona dauurica",104.26,37.43,"Ochotona_dauurica","Lagomorpha","Ochotonidae","Ochotona","dauurica",,,"365","131.01",,,,,,,"3","1",,,"30",,,"2","1","180",,,,"5.91","2.25",,,,"5490.9",,,"94.39",,,"2972204.68","52.49","33.08","42.78","120.31","88.2","104.26","0","27.87","0","0.06","22.8","-2.41","312.59","598.76"
